market,account_type,funnel,Month,Year,variable_splits,Constrain_Variable_Name,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,power,growth,MAPE,period_AE,periods,cutoff_month,MinWeight,MaxWeight
Italy,Desktop,-,Apr,2024,Italy_Desktop_-_Apr_2024,cost,183,0.05,0.001,15.0,multiplicative,additive,na,Default,na,na,na,na,na,na,na,linear,9.4,2.87,251.0,2024-04-25,0.8,1.2
Italy,Desktop,-,May,2024,Italy_Desktop_-_May_2024,cost,183,0.05,0.001,15.0,multiplicative,additive,na,Default,na,na,na,na,na,na,na,linear,9.4,2.87,251.0,2024-04-25,0.8,1.2
Italy,Desktop,-,Jun,2024,Italy_Desktop_-_Jun_2024,cost,183,0.05,0.001,15.0,multiplicative,additive,na,Default,na,na,na,na,na,na,na,linear,9.4,2.87,251.0,2024-04-25,0.8,1.2
Italy,Desktop,-,Jul,2024,Italy_Desktop_-_Jul_2024,cost,183,0.05,0.001,15.0,multiplicative,additive,na,Default,na,na,na,na,na,na,na,linear,9.4,2.87,251.0,2024-04-25,0.8,1.2
Italy,Desktop,-,Aug,2024,Italy_Desktop_-_Aug_2024,cost,183,0.05,0.001,15.0,multiplicative,additive,na,Default,na,na,na,na,na,na,na,linear,9.4,2.87,251.0,2024-04-25,0.8,1.2
Italy,Desktop,-,Sep,2024,Italy_Desktop_-_Sep_2024,cost,183,0.05,0.001,15.0,multiplicative,additive,na,Default,na,na,na,na,na,na,na,linear,9.4,2.87,251.0,2024-04-25,0.8,1.2
Italy,Desktop,-,Oct,2024,Italy_Desktop_-_Oct_2024,cost,183,0.05,0.001,15.0,multiplicative,additive,na,Default,na,na,na,na,na,na,na,linear,9.4,2.87,251.0,2024-04-25,0.8,1.2
Italy,Desktop,-,Nov,2024,Italy_Desktop_-_Nov_2024,cost,183,0.05,0.001,15.0,multiplicative,additive,na,Default,na,na,na,na,na,na,na,linear,9.4,2.87,251.0,2024-04-25,0.9,1.0
Italy,Desktop,-,Dec,2024,Italy_Desktop_-_Dec_2024,cost,183,0.05,0.001,15.0,multiplicative,additive,na,Default,na,na,na,na,na,na,na,linear,9.4,2.87,251.0,2024-04-25,0.8,1.2
Italy,Mobile & Tablet,-,Apr,2024,Italy_Mobile_&_Tablet_-_Apr_2024,cost,183,0.0001,1.0,10.0,additive,multiplicative,additive,na,na,na,na,na,na,na,na,linear,16.55,5.12,251.0,2024-04-25,0.8,1.2
Italy,Mobile & Tablet,-,May,2024,Italy_Mobile_&_Tablet_-_May_2024,cost,183,0.0001,1.0,10.0,additive,multiplicative,additive,na,na,na,na,na,na,na,na,linear,16.55,5.12,251.0,2024-04-25,0.8,1.2
Italy,Mobile & Tablet,-,Jun,2024,Italy_Mobile_&_Tablet_-_Jun_2024,cost,183,0.0001,1.0,10.0,additive,multiplicative,additive,na,na,na,na,na,na,na,na,linear,16.55,5.12,251.0,2024-04-25,0.8,1.2
Italy,Mobile & Tablet,-,Jul,2024,Italy_Mobile_&_Tablet_-_Jul_2024,cost,183,0.0001,1.0,10.0,additive,multiplicative,additive,na,na,na,na,na,na,na,na,linear,16.55,5.12,251.0,2024-04-25,0.8,1.2
Italy,Mobile & Tablet,-,Aug,2024,Italy_Mobile_&_Tablet_-_Aug_2024,cost,183,0.0001,1.0,10.0,additive,multiplicative,additive,na,na,na,na,na,na,na,na,linear,16.55,5.12,251.0,2024-04-25,0.8,1.2
Italy,Mobile & Tablet,-,Sep,2024,Italy_Mobile_&_Tablet_-_Sep_2024,cost,183,0.0001,1.0,10.0,additive,multiplicative,additive,na,na,na,na,na,na,na,na,linear,16.55,5.12,251.0,2024-04-25,0.8,1.2
Italy,Mobile & Tablet,-,Oct,2024,Italy_Mobile_&_Tablet_-_Oct_2024,cost,183,0.0001,1.0,10.0,additive,multiplicative,additive,na,na,na,na,na,na,na,na,linear,16.55,5.12,251.0,2024-04-25,0.8,1.2
Italy,Mobile & Tablet,-,Nov,2024,Italy_Mobile_&_Tablet_-_Nov_2024,cost,183,0.0001,1.0,10.0,additive,multiplicative,additive,na,na,na,na,na,na,na,na,linear,16.55,5.12,251.0,2024-04-25,0.9,1.0
Italy,Mobile & Tablet,-,Dec,2024,Italy_Mobile_&_Tablet_-_Dec_2024,cost,183,0.0001,1.0,10.0,additive,multiplicative,additive,na,na,na,na,na,na,na,na,linear,16.55,5.12,251.0,2024-04-25,0.8,1.2
